position,Sample name,Cellular compartment,Medium,Sample Type,Temperature (C),Timepoint (h),Cultivation Container ID/Position,Operator Name,Replicate #,Strain,Genotype,Date of sampling,old position,plate,Unnamed: 12
C07,MIA-HA-123_3,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-123,RsepG8H AraCPR,,,yp54,
C08,MIA-HA-123_4,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-123,RsepG8H AraCPR,,,yp54,
C09,MIA-HA-124_1,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-124,CroG8H AraCPR,,,yp54,
C10,MIA-HA-124_2,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-124,CroG8H AraCPR,,,yp54,
C11,MIA-HA-124_3,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-124,CroG8H AraCPR,,,yp54,
C12,MIA-HA-124_4,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-124,CroG8H AraCPR,,,yp54,
D01,MIA-HA-125_1,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-125,OeuG8H AraCPR,,,yp54,
D02,MIA-HA-125_2,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-125,OeuG8H AraCPR,,,yp54,
D03,MIA-HA-125_3,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-125,OeuG8H AraCPR,,,yp54,
D04,MIA-HA-125_4,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-125,OeuG8H AraCPR,,,yp54,
D05,MIA-HA-136_1,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-136,VminG8H AhuCPR,,,yp54,
D06,MIA-HA-136_2,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-136,VminG8H AhuCPR,,,yp54,
D07,MIA-HA-136_3,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-136,VminG8H AhuCPR,,,yp54,
D08,MIA-HA-136_4,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-136,VminG8H AhuCPR,,,yp54,
D09,MIA-HA-137_1,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-137,SmusG8H AhuCPR,,,yp54,
D10,MIA-HA-137_2,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-137,SmusG8H AhuCPR,,,yp54,
D11,MIA-HA-137_3,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-137,SmusG8H AhuCPR,,,yp54,
D12,MIA-HA-137_4,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-137,SmusG8H AhuCPR,,,yp54,
E01,MIA-HA-138_1,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-138,RsepG8H AhuCPR,,,yp54,
E02,MIA-HA-138_2,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-138,RsepG8H AhuCPR,,,yp54,
E03,MIA-HA-138_3,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-138,RsepG8H AhuCPR,,,yp54,
E04,MIA-HA-138_4,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-138,RsepG8H AhuCPR,,,yp54,
E05,MIA-HA-139_1,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-139,CroG8H AhuCPR,,,yp54,
E06,MIA-HA-139_2,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-139,CroG8H AhuCPR,,,yp54,
E07,MIA-HA-139_3,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-139,CroG8H AhuCPR,,,yp54,
E08,MIA-HA-139_4,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-139,CroG8H AhuCPR,,,yp54,
E09,MIA-HA-140_1,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-140,OeuG8H AhuCPR,,,yp54,
E10,MIA-HA-140_2,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-140,OeuG8H AhuCPR,,,yp54,
E11,MIA-HA-140_3,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-140,OeuG8H AhuCPR,,,yp54,
E12,MIA-HA-140_4,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-140,OeuG8H AhuCPR,,,yp54,
F01,MIA-HA-145_1,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-145,OeuG8H AniCPR,,,yp54,
F02,MIA-HA-145_2,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-145,OeuG8H AniCPR,,,yp54,
F03,MIA-HA-145_3,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-145,OeuG8H AniCPR,,,yp54,
F04,MIA-HA-145_4,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-145,OeuG8H AniCPR,,,yp54,
